time_ns,dec_i_data,dec_o_valid,dec_o_data,int_i_data,interp_o_valid,interp_o_data
6385.0,244,0,65060,251,1,64976
6395.0,244,0,65060,251,1,64985
6405.0,244,0,65060,251,1,64994
6415.0,244,0,65060,251,1,65003
6425.0,244,0,65060,251,1,65011
6435.0,243,0,65060,251,1,65020
6445.0,243,0,65060,251,1,65028
6455.0,243,1,64820,251,1,65035
6465.0,243,0,64820,243,1,65042
6475.0,243,0,64820,243,1,65049
6485.0,243,0,64820,243,1,65056
6495.0,242,0,64820,243,1,65062
6505.0,242,0,64820,243,1,65068
6515.0,242,0,64820,243,1,65073
6525.0,242,0,64820,243,1,65078
6535.0,242,0,64820,243,1,65083
6545.0,242,0,64820,243,1,65087
6555.0,241,0,64820,243,1,65091
6565.0,241,0,64820,243,1,65094
6575.0,241,0,64820,243,1,65097
6585.0,241,0,64820,243,1,65100
6595.0,241,0,64820,243,1,65103
6605.0,240,0,64820,243,1,65105
6615.0,240,0,64820,243,1,65106
6625.0,240,0,64820,243,1,65107
6635.0,240,0,64820,243,1,65108
6645.0,240,0,64820,243,1,65109
6655.0,239,0,64820,243,1,65109
6665.0,239,0,64820,243,1,65109
6675.0,239,0,64820,243,1,65108
6685.0,239,0,64820,243,1,65107
6695.0,239,0,64820,243,1,65106
6705.0,239,0,64820,243,1,65104
6715.0,238,0,64820,243,1,65102
6725.0,238,0,64820,243,1,65099
6735.0,238,0,64820,243,1,65096
6745.0,238,0,64820,243,1,65093
6755.0,238,0,64820,243,1,65090
6765.0,237,0,64820,243,1,65086
6775.0,237,0,64820,243,1,65081
6785.0,237,0,64820,243,1,65076
6795.0,237,0,64820,243,1,65071
6805.0,236,0,64820,243,1,65066
6815.0,236,0,64820,243,1,65060
6825.0,236,0,64820,243,1,65054
6835.0,236,0,64820,243,1,65047
6845.0,236,0,64820,243,1,65040
6855.0,235,0,64820,243,1,65033
6865.0,235,0,64820,243,1,65025
6875.0,235,0,64820,243,1,65017
6885.0,235,0,64820,243,1,65008
6895.0,235,0,64820,243,1,64999
6905.0,234,0,64820,243,1,64990
6915.0,234,0,64820,243,1,64981
6925.0,234,0,64820,243,1,64971
6935.0,234,0,64820,243,1,64960
6945.0,233,0,64820,243,1,64949
6955.0,233,0,64820,243,1,64938
6965.0,233,0,64820,243,1,64927
6975.0,233,0,64820,243,1,64915
6985.0,233,0,64820,243,1,64903
6995.0,232,0,64820,243,1,64890
7005.0,232,0,64820,243,1,64877
7015.0,232,0,64820,243,1,64864
7025.0,232,0,64820,243,1,64850
7035.0,231,0,64820,243,1,64836
7045.0,231,0,64820,243,1,64821
7055.0,231,0,64820,243,1,64806
7065.0,231,0,64820,243,1,64791
7075.0,231,0,64820,243,1,64776
7085.0,230,0,64820,243,1,64760
7095.0,230,1,63288,243,1,64743
7105.0,230,0,63288,230,1,64727
7115.0,230,0,63288,230,1,64710
7125.0,229,0,63288,230,1,64693
7135.0,229,0,63288,230,1,64676
7145.0,229,0,63288,230,1,64658
7155.0,229,0,63288,230,1,64641
7165.0,228,0,63288,230,1,64623
7175.0,228,0,63288,230,1,64604
7185.0,228,0,63288,230,1,64586
7195.0,228,0,63288,230,1,64567
7205.0,227,0,63288,230,1,64548
7215.0,227,0,63288,230,1,64529
7225.0,227,0,63288,230,1,64509
7235.0,227,0,63288,230,1,64490
7245.0,226,0,63288,230,1,64470
7255.0,226,0,63288,230,1,64449
7265.0,226,0,63288,230,1,64429
7275.0,226,0,63288,230,1,64408
7285.0,225,0,63288,230,1,64387
7295.0,225,0,63288,230,1,64366
7305.0,225,0,63288,230,1,64344
7315.0,225,0,63288,230,1,64323
7325.0,224,0,63288,230,1,64301
7335.0,224,0,63288,230,1,64278
7345.0,224,0,63288,230,1,64256
